,CCL
Next Earnings Announcement,2020-06-18 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-2.2109004739336493
Growth 1yr High Est,0.04861111111111116
Growth 1yr Consensus Est,-1.081144681411269
Growth 2yr Low Est,-1.3021234267906994
Growth 2yr High Est,0.06735191317144962
Growth 2yr Consensus Est,-0.6173857568096248
Growth 5yr Low Est,-0.5927193511556252
Growth 5yr High Est,0.06037137954283006
Growth 5yr Consensus Est,-0.2661739858063976
Growth 5yr Actual/Est,-0.8169271943753966
Growth 3yr Historic,0.03701177395963917
