,CCL
% Above Low,0.8218000000000001
% Held by Institutions,0.7483
52-Wk Range,['7.80 - 54.44']
Annual Dividend $,
Annual Dividend %,
Ask,14.09
Ask Size,2100.0
B/A Ratio,0.047619047619047616
B/A Size,100x2100
Beta,2.0
Bid,14.02
Bid Size,100.0
Change Since Close,-0.13| |(-0.91%)
Closing Price,14.21
Day Change $,0.68
Day Change %,0.050300000000000004
Day High,14.39
Day Low,13.65
Dividend Pay Date,03/13/20
"EPS (TTM, GAAP)",2.7
Ex-dividend Date,02/20/20
Historical Volatility,0.985
Last (size),7.0
Last (time),6:30p ET 05/08/20
Last Trade,14.08
Market Cap,11.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.01
Prev Close,13.53
Shares Outstanding,782.2M
Short Interest,0.1912
Today's Open,14.07
Volume,41587406.0
Volume 10-day Avg,67565042.0
Volume Past Day,(Light)
