,CCL
Price/Earnings (TTM),5.01317
Price/Sales (TTM),0.47352
Price/Book (MRQ),0.38156
Price/Cash Flow (TTM),2.42755
5yr Low,7.8
5yr High,72.7
5yr Avg Return,-0.09243333333333333
EPS Growth 5yr,0.2255255
Revenue Growth 5yr,0.0556623
Dividend Growth 5yr,
Short Int Current Month,96803424.0
Short Int Prev Month,39104732.0
Short Int Pct of Float,0.1912277
Days to Cover,0.71115
Float,506.2801
Shares Outstanding,755.7296
Institutions Holding Shares,1025.0
% Held by Institutions,0.748282
FCF Growth 5yr,-0.22975742011505088
