,ADBE
% Below High,0.049699999999999994
% Held by Institutions,0.8684000000000001
52-Wk Range,['255.13 - 386.75']
Annual Dividend $,
Annual Dividend %,
Ask,369.99
Ask Size,100.0
Ask close,0.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,368.44
Bid Size,100.0
Bid close,208.0
Change Since Close,2.48| |(0.67%)
Closing Price,367.51
Day Change $,0.73
Day Change %,0.002
Day High,371.1
Day Low,365.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.61
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),25.0
Last (time),4:15p ET 05/08/20
Last Trade,369.99
Market Cap,177.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",55.53
Prev Close,366.78
Shares Outstanding,481.8M
Short Interest,0.0115
Today's Open,370.0
Volume,2547224.0
Volume 10-day Avg,2944028.0
Volume Past Day,(Below Average)
