,ADBE
Price/Earnings (TTM),55.52856
Price/Sales (TTM),15.1539
Price/Book (MRQ),16.92831
Price/Cash Flow (TTM),44.0143
5yr Low,71.27
5yr High,386.75
5yr Avg Return,0.3245
EPS Growth 5yr,0.6265833
Revenue Growth 5yr,0.21919329999999998
Dividend Growth 5yr,
Short Int Current Month,5503651.0
Short Int Prev Month,5698013.0
Short Int Pct of Float,0.011473
Days to Cover,1.57852
Float,479.7569
Shares Outstanding,481.8008
Institutions Holding Shares,2377.0
% Held by Institutions,0.8683839999999999
FCF Growth 5yr,0.27395153737909017
