,VRSN
% Below High,0.0529
% Held by Institutions,0.9353
52-Wk Range,['148.77 - 221.78']
Annual Dividend $,
Annual Dividend %,
Ask,211.06
Ask Size,1400.0
B/A Ratio,0.21428571428571427
B/A Size,300x1400
Beta,0.9
Bid,201.15
Bid Size,300.0
Closing Price,210.04
Day Change $,-1.74
Day Change %,-0.008199999999999999
Day High,213.85
Day Low,209.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.66
Ex-dividend Date,No dividend
Historical Volatility,0.384
Last (size),445.0
Last (time),4:15p ET 05/08/20
Market Cap,24.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.55
Prev Close,211.78
Shares Outstanding,115.5M
Short Interest,0.021
Today's Open,213.85
Volume,392445.0
Volume 10-day Avg,651531.0
Volume Past Day,(Light)
