,BAC
Price/Earnings (TTM),9.32062
Price/Sales (TTM),2.17732
Price/Book (MRQ),0.82052
Price/Cash Flow (TTM),8.11662
5yr Low,10.99
5yr High,35.72
5yr Avg Return,0.10506666666666666
EPS Growth 5yr,0.4545327
Revenue Growth 5yr,0.0661499
Dividend Growth 5yr,0.4062824
Short Int Current Month,108696665.0
Short Int Prev Month,97855845.0
Short Int Pct of Float,0.012543899999999998
Days to Cover,1.37006
Float,8666.483
Shares Outstanding,8675.611
Institutions Holding Shares,2747.0
% Held by Institutions,0.720082
FCF Growth 5yr,
