,BAC
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.9699248120300752
Growth 1yr High Est,-0.39344262295081955
Growth 1yr Consensus Est,-0.6816837174904473
Growth 2yr Low Est,9.015037593984962
Growth 2yr High Est,0.10057598582188748
Growth 2yr Consensus Est,4.557806789903425
Growth 5yr Low Est,4.632714199291332
Growth 5yr High Est,0.17912947305676322
Growth 5yr Consensus Est,2.4059218361740475
Growth 5yr Actual/Est,0.1293112987835283
Growth 3yr Historic,0.11645863420672581
