,BAC
% Above Low,0.3131
% Held by Institutions,0.7201000000000001
52-Wk Range,['17.95 - 35.72']
Annual Dividend $,0.72
Annual Dividend %,0.0315
Ask,23.64
Ask Size,100.0
B/A Ratio,20.0
B/A Size,2000x100
Beta,1.6
Bid,23.63
Bid Size,2000.0
Change Since Close,0.06| |(0.25%)
Closing Price,23.57
Day Change $,0.73
Day Change %,0.032
Day High,23.62
Day Low,23.25
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",2.45
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.505
Last (size),30.0
Last (time),6:30p ET 05/08/20
Last Trade,23.63
Market Cap,204.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.32
Prev Close,22.84
Shares Outstanding,8.7B
Short Interest,0.0125
Today's Open,23.47
Volume,45221173.0
Volume 10-day Avg,54807645.0
Volume Past Day,(Below Average)
