,JNJ
% Below High,0.0529
% Held by Institutions,0.6754000000000001
52-Wk Range,['109.16 - 157.00']
Annual Dividend $,4.04
Annual Dividend %,0.0274
Ask,149.05
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,148.7
Bid Size,100.0
Closing Price,148.7
Day Change $,1.11
Day Change %,0.0075
Day High,149.18
Day Low,147.89
Dividend Pay Date,2020-06-09 00:00:00
"EPS (TTM, GAAP)",6.41
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.306
Last (size),21.0
Last (time),6:30p ET 05/08/20
Market Cap,392.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.03
Prev Close,147.59
Shares Outstanding,2.6B
Short Interest,0.0072
Today's Open,148.92
Volume,4712477.0
Volume 10-day Avg,7977304.0
Volume Past Day,(Light)
