,WM
% Above Low,0.18309999999999998
% Held by Institutions,0.765
52-Wk Range,['85.34 - 126.79']
Annual Dividend $,2.18
Annual Dividend %,0.0215
Ask,102.2
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,0.8
Bid,100.97
Bid Size,500.0
Closing Price,100.97
Day Change $,-0.48
Day Change %,-0.004699999999999999
Day High,102.94
Day Low,100.33
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",3.94
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.326
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,42.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.6
Prev Close,101.45
Shares Outstanding,422.0M
Short Interest,0.0113
Today's Open,101.96
Volume,1761806.0
Volume 10-day Avg,2268346.0
Volume Past Day,(Light)
