,RTX
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.7345679012345678
Growth 1yr High Est,-0.4648058252427184
Growth 1yr Consensus Est,-0.5996868632386432
Growth 2yr Low Est,-0.0765862761986793
Growth 2yr High Est,-0.13603103053519144
Growth 2yr Consensus Est,-0.10630865336693537
Growth 5yr Low Est,0.01852504371884217
Growth 5yr High Est,-0.010552828700431532
Growth 5yr Consensus Est,0.0039861075092053055
Growth 5yr Actual/Est,-0.026179899216105612
Growth 3yr Historic,0.05744370782409375
