,RTX
% Above Low,0.4412
% Held by Institutions,0.4461
52-Wk Range,['40.71 - 93.45']
Annual Dividend $,1.9
Annual Dividend %,0.0333
Ask,58.9
Ask Size,3100.0
B/A Ratio,0.03225806451612903
B/A Size,100x3100
Beta,1.4
Bid,58.65
Bid Size,100.0
Closing Price,58.67
Day Change $,1.66
Day Change %,0.0291
Day High,58.75
Day Low,57.35
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",4.75
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,1.236
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,88.9B
"P/E Ratio (TTM, GAAP)",12.35
Prev Close,57.01
Shares Outstanding,1.5B
Short Interest,0.0232
Today's Open,57.72
Volume,10183212.0
Volume 10-day Avg,12557335.0
Volume Past Day,(Below Average)
