,GM
% Above Low,0.6705
% Held by Institutions,0.7676999999999999
52-Wk Range,['14.33 - 41.90']
Annual Dividend $,
Annual Dividend %,
Ask,24.15
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,24.05
Bid Size,200.0
Closing Price,23.93
Day Change $,1.49
Day Change %,0.0664
Day High,24.0
Day Low,23.05
Dividend Pay Date,03/20/20
"EPS (TTM, GAAP)",3.27
Ex-dividend Date,03/05/20
Historical Volatility,0.537
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,34.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.86
Prev Close,22.44
Shares Outstanding,1.4B
Short Interest,0.0174
Today's Open,23.07
Volume,16562348.0
Volume 10-day Avg,19355375.0
Volume Past Day,(Below Average)
