,GM
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.2159827213822894
Growth 1yr High Est,-0.368836291913215
Growth 1yr Consensus Est,-0.7924095066477521
Growth 2yr Low Est,-2.1079913606911447
Growth 2yr High Est,0.20464435404339248
Growth 2yr Consensus Est,-0.9516735033238761
Growth 5yr Low Est,-1.1072663067779636
Growth 5yr High Est,0.050008757151821126
Growth 5yr Consensus Est,-0.5286287748130711
Growth 5yr Actual/Est,0.3753598129979997
Growth 3yr Historic,-0.06877038351025988
