,GM
Price/Earnings (TTM),6.86432
Price/Sales (TTM),0.23776
Price/Book (MRQ),0.78319
Price/Cash Flow (TTM),1.78944
5yr Low,14.33
5yr High,46.76
5yr Avg Return,-0.041833333333333333
EPS Growth 5yr,0.2243727
Revenue Growth 5yr,-0.0252149
Dividend Growth 5yr,
Short Int Current Month,23100658.0
Short Int Prev Month,18226822.0
Short Int Pct of Float,0.0174323
Days to Cover,1.31408
Float,1329.069
Shares Outstanding,1431.077
Institutions Holding Shares,1320.0
% Held by Institutions,0.767663
FCF Growth 5yr,-0.020796405888936675
