,CMS
% Above Low,0.20120000000000002
% Held by Institutions,0.9262
52-Wk Range,['46.03 - 69.17']
Annual Dividend $,1.63
Annual Dividend %,0.029900000000000003
Ask,60.55
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.2
Bid,54.0
Bid Size,600.0
Closing Price,55.29
Day Change $,0.75
Day Change %,0.0138
Day High,55.59
Day Low,54.56
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",2.39
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.369
Last (size),548.0
Last (time),6:30p ET 05/08/20
Market Cap,15.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.77
Prev Close,54.54
Shares Outstanding,286.2M
Short Interest,0.0118
Today's Open,55.11
Volume,1457886.0
Volume 10-day Avg,2035306.0
Volume Past Day,(Light)
