,PEG
% Above Low,0.4035
% Held by Institutions,0.7103
52-Wk Range,['34.75 - 63.88']
Annual Dividend $,1.96
Annual Dividend %,0.040999999999999995
Ask,55.0
Ask Size,600.0
B/A Ratio,0.5
B/A Size,300x600
Beta,0.6
Bid,47.82
Bid Size,300.0
Closing Price,48.77
Day Change $,0.95
Day Change %,0.0199
Day High,49.0
Day Low,48.09
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.84
Ex-dividend,2020-06-08 00:00:00
Ex-dividend Date,06/08/20
Historical Volatility,0.34600000000000003
Last (size),33800.0
Last (time),6:30p ET 05/08/20
Market Cap,24.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.16
Prev Close,47.82
Shares Outstanding,505.6M
Short Interest,0.0126
Today's Open,48.39
Volume,2121774.0
Volume 10-day Avg,2194457.0
Volume Past Day,(Average)
