,PEG
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.015772870662460692
Growth 1yr High Est,0.04268292682926833
Growth 1yr Consensus Est,0.02922789874586451
Growth 2yr Low Est,0.014097615455453849
Growth 2yr High Est,0.07397304236200253
Growth 2yr Consensus Est,0.04403532890872819
Growth 5yr Low Est,0.031685185758852485
Growth 5yr High Est,0.06155124446937743
Growth 5yr Consensus Est,0.04661821511411496
Growth 5yr Actual/Est,0.04108390068018225
Growth 3yr Historic,0.029032116916075934
