,PEG
Price/Earnings (TTM),17.15918
Price/Sales (TTM),2.49664
Price/Book (MRQ),1.61191
Price/Cash Flow (TTM),8.84164
5yr Low,34.75
5yr High,63.88
5yr Avg Return,0.03555
EPS Growth 5yr,0.022464300000000003
Revenue Growth 5yr,-0.0153453
Dividend Growth 5yr,0.049009
Short Int Current Month,6344352.0
Short Int Prev Month,4756384.0
Short Int Pct of Float,0.0125681
Days to Cover,1.759
Float,505.3167
Shares Outstanding,505.6253
Institutions Holding Shares,1093.0
% Held by Institutions,0.7103400000000001
FCF Growth 5yr,-3.589767012129768
