,RMD
% Below High,0.08560000000000001
% Held by Institutions,0.6812999999999999
52-Wk Range,['108.85 - 177.99']
Annual Dividend $,1.56
Annual Dividend %,0.0097
Ask,163.59
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.5
Bid,152.0
Bid Size,100.0
Closing Price,162.75
Day Change $,2.05
Day Change %,0.0128
Day High,165.47
Day Low,160.89
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.46
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,23.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.97
Prev Close,160.7
Shares Outstanding,144.7M
Short Interest,0.0127
Today's Open,161.91
Volume,543148.0
Volume 10-day Avg,724289.0
Volume Past Day,(Light)
