,RMD
Price/Earnings (TTM),45.96938
Price/Sales (TTM),8.14239
Price/Book (MRQ),10.4341
Price/Cash Flow (TTM),34.94733
5yr Low,48.99
5yr High,177.99
5yr Avg Return,0.18738333333333335
EPS Growth 5yr,0.0354105
Revenue Growth 5yr,0.1088413
Dividend Growth 5yr,0.0815643
Short Int Current Month,1817107.0
Short Int Prev Month,1713298.0
Short Int Pct of Float,0.012665299999999999
Days to Cover,2.35081
Float,143.4713
Shares Outstanding,144.6684
Institutions Holding Shares,809.0
% Held by Institutions,0.6812940000000001
FCF Growth 5yr,0.08069642954163306
