,GPS
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-1.434959349593496
Growth 1yr High Est,-0.3076923076923077
Growth 1yr Consensus Est,-0.8713258286429019
Growth 2yr Low Est,-1.3389750018995517
Growth 2yr High Est,-0.12884615384615394
Growth 2yr Consensus Est,-0.7339105778728527
Growth 5yr Low Est,-0.6180169127144818
Growth 5yr High Est,-0.012097495527728097
Growth 5yr Consensus Est,-0.31505720412110494
Growth 5yr Actual/Est,0.2679183161345169
Growth 3yr Historic,-0.005854949516921337
