,GPS
Price/Earnings (TTM),7.43085
Price/Sales (TTM),0.16877
Price/Book (MRQ),0.83016
Price/Cash Flow (TTM),2.94774
5yr Low,5.26
5yr High,40.07
5yr Avg Return,-0.17285
EPS Growth 5yr,-0.1887296
Revenue Growth 5yr,-0.0006336
Dividend Growth 5yr,0.0243648
Short Int Current Month,32887951.0
Short Int Prev Month,39200817.0
Short Int Pct of Float,0.16676269999999999
Days to Cover,2.44267
Float,207.6371
Shares Outstanding,372.6395
Institutions Holding Shares,587.0
% Held by Institutions,0.617529
FCF Growth 5yr,-0.12428826785420602
