,GPS
% Above Low,0.5399
% Held by Institutions,0.6175
52-Wk Range,['5.26 - 25.26']
Annual Dividend $,0.97
Annual Dividend %,0.1307
Ask,8.17
Ask Size,100.0
B/A Ratio,38.0
B/A Size,3800x100
Beta,1.4
Bid,8.1
Bid Size,3800.0
Closing Price,8.1
Day Change $,0.68
Day Change %,0.0916
Day High,8.16
Day Low,7.66
Dividend Pay Date,2021-04-28 00:00:00
"EPS (TTM, GAAP)",1.0
Ex-dividend,2021-04-06 00:00:00
Ex-dividend Date,04/06/21
Historical Volatility,0.756
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,3.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.43
Prev Close,7.42
Shares Outstanding,372.6M
Short Interest,0.1668
Today's Open,7.67
Volume,10960764.0
Volume 10-day Avg,12379004.0
Volume Past Day,(Below Average)
