,EQR
Price/Earnings (TTM),20.25807
Price/Sales (TTM),8.62254
Price/Book (MRQ),2.23587
Price/Cash Flow (TTM),11.70818
5yr Low,49.62
5yr High,89.55
5yr Avg Return,-0.011466666666666665
EPS Growth 5yr,0.0698225
Revenue Growth 5yr,0.0065176
Dividend Growth 5yr,0.008460299999999999
Short Int Current Month,5089511.0
Short Int Prev Month,4562677.0
Short Int Pct of Float,0.0139033
Days to Cover,2.09893
Float,366.3363
Shares Outstanding,372.1041
Institutions Holding Shares,853.0
% Held by Institutions,0.933598
FCF Growth 5yr,-0.3805309754497994
