,AAP
Price/Earnings (TTM),17.49899
Price/Sales (TTM),0.85115
Price/Book (MRQ),2.33323
Price/Cash Flow (TTM),11.39414
5yr Low,71.33
5yr High,201.24
5yr Avg Return,0.01985
EPS Growth 5yr,0.0040354
Revenue Growth 5yr,-0.0027551
Dividend Growth 5yr,0.0
Short Int Current Month,1694128.0
Short Int Prev Month,1533419.0
Short Int Pct of Float,0.024609100000000002
Days to Cover,1.42372
Float,68.85382
Shares Outstanding,69.08947
Institutions Holding Shares,697.0
% Held by Institutions,1.00801
FCF Growth 5yr,0.1760371692657177
