,AAP
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4338422391857506
Growth 1yr High Est,0.1389236545682102
Growth 1yr Consensus Est,-0.1474592923087702
Growth 2yr Low Est,0.03251708265431563
Growth 2yr High Est,0.14363765145992924
Growth 2yr Consensus Est,0.08807736705712244
Growth 5yr Low Est,0.1369497702708139
Growth 5yr High Est,0.1892570594964723
Growth 5yr Consensus Est,0.1631034148836431
Growth 5yr Actual/Est,0.13791866675313313
Growth 3yr Historic,0.11910358570939794
