,AAP
% Below High,0.2717
% Held by Institutions,1.008
52-Wk Range,['71.33 - 171.43']
Annual Dividend $,1.0
Annual Dividend %,0.0084
Ask,125.52
Ask Size,200.0
B/A Ratio,14.0
B/A Size,2800x200
Beta,1.3
Bid,124.79
Bid Size,2800.0
Change Since Close,0.00| |(0.00%)
Closing Price,124.85
Day Change $,5.24
Day Change %,0.0438
Day High,125.71
Day Low,121.13
Dividend Pay Date,2020-04-03 00:00:00
"EPS (TTM, GAAP)",6.84
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.467
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,8.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.5
Prev Close,119.61
Shares Outstanding,69.1M
Short Interest,0.0246
Today's Open,121.9
Volume,911524.0
Volume 10-day Avg,724088.0
Volume Past Day,(Heavy Day)
