,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Positive Surprise,4.0,,,,,,,3.78,4.0,,
Year ending 12/2018,Neutral,5.72,,0.42999999999999994,5.72,,5.87,,5.795,5.72,0.42999999999999994,
Year ending 12/2019,Neutral,6.57,,0.14860139860139876,6.41,0.12062937062937062,6.62,0.12776831345826234,6.515000000000001,6.57,0.14860139860139876,0.12419884204381648
Year ending 12/2020,Neutral,,5.97,0.0,5.41,-0.15600624024960996,6.56,-0.009063444108761365,5.97,5.97,-0.09132420091324212,-0.08253484217918566
Year ending 12/2021,Neutral,,7.64,0.0,6.74,0.24584103512014788,8.14,0.24085365853658547,7.64,7.64,0.27973199329983256,0.24334734682836667
