,ILMN
Price/Earnings (TTM),49.42111
Price/Sales (TTM),12.95386
Price/Book (MRQ),9.93828
Price/Cash Flow (TTM),40.98214
5yr Low,119.37
5yr High,380.76
5yr Avg Return,0.12538333333333335
EPS Growth 5yr,0.2317394
Revenue Growth 5yr,0.137387
Dividend Growth 5yr,
Short Int Current Month,3275637.0
Short Int Prev Month,2693676.0
Short Int Pct of Float,0.0223759
Days to Cover,2.77717
Float,146.318
Shares Outstanding,147.0
Institutions Holding Shares,1229.0
% Held by Institutions,0.93179
FCF Growth 5yr,0.09337984243655448
