,MAS
Price/Earnings (TTM),17.80747
Price/Sales (TTM),1.61757
Price/Book (MRQ),
Price/Cash Flow (TTM),13.06202
5yr Low,22.52
5yr High,50.06
5yr Avg Return,0.13253333333333336
EPS Growth 5yr,-0.0070359
Revenue Growth 5yr,-0.0086851
Dividend Growth 5yr,0.0844718
Short Int Current Month,9640496.0
Short Int Prev Month,10372512.0
Short Int Pct of Float,0.0368337
Days to Cover,2.44916
Float,262.8132
Shares Outstanding,263.7554
Institutions Holding Shares,874.0
% Held by Institutions,0.985808
FCF Growth 5yr,0.02301172154643314
