,TFC
Price/Earnings (TTM),10.31201
Price/Sales (TTM),3.18977
Price/Book (MRQ),0.79667
Price/Cash Flow (TTM),17.53971
5yr Low,24.01
5yr High,56.92
5yr Avg Return,0.018900000000000007
EPS Growth 5yr,0.064104
Revenue Growth 5yr,0.08904730000000001
Dividend Growth 5yr,0.1247461
Short Int Current Month,14900310.0
Short Int Prev Month,16032085.0
Short Int Pct of Float,0.011136600000000002
Days to Cover,1.80169
Float,1336.642
Shares Outstanding,1345.002
Institutions Holding Shares,1539.0
% Held by Institutions,0.6966060000000001
FCF Growth 5yr,
