,WMB
Price/Earnings (TTM),158.0999
Price/Sales (TTM),2.93064
Price/Book (MRQ),1.91713
Price/Cash Flow (TTM),14.15275
5yr Low,8.41
5yr High,61.38
5yr Avg Return,-0.11348333333333334
EPS Growth 5yr,-0.2461157
Revenue Growth 5yr,0.0143523
Dividend Growth 5yr,0.0169471
Short Int Current Month,23748628.0
Short Int Prev Month,19835933.0
Short Int Pct of Float,0.0196368
Days to Cover,1.26381
Float,1209.883
Shares Outstanding,1213.197
Institutions Holding Shares,1074.0
% Held by Institutions,0.8724250000000001
FCF Growth 5yr,8.647494741709759
