,WMB
% Below High,0.33
% Held by Institutions,0.8724
52-Wk Range,['8.41 - 29.06']
Annual Dividend $,1.6
Annual Dividend %,0.0833
Ask,19.7
Ask Size,2000.0
B/A Ratio,0.3
B/A Size,600x2000
Beta,1.8
Bid,19.47
Bid Size,600.0
Closing Price,19.47
Day Change $,0.26
Day Change %,0.013500000000000002
Day High,19.7
Day Low,19.05
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",0.12
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.59
Last (size),700.0
Last (time),6:30p ET 05/08/20
Market Cap,23.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",158.1
Prev Close,19.21
Shares Outstanding,1.2B
Short Interest,0.0196
Today's Open,19.59
Volume,8303255.0
Volume 10-day Avg,11706346.0
Volume Past Day,(Light)
