,ATO
% Above Low,0.24910000000000002
% Held by Institutions,0.8406
52-Wk Range,['77.92 - 121.08']
Annual Dividend $,2.3
Annual Dividend %,0.0239
Ask,105.61
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.3
Bid,
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,97.33
Day Change $,0.95
Day Change %,0.009899999999999999
Day High,97.87
Day Low,96.16
Dividend Pay Date,2020-06-08 00:00:00
"EPS (TTM, GAAP)",4.58
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.384
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,11.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",21.02
Prev Close,96.38
Shares Outstanding,122.3M
Short Interest,0.0377
Today's Open,97.39
Volume,868230.0
Volume 10-day Avg,923794.0
Volume Past Day,(Average)
