,ATO
Price/Earnings (TTM),21.02453
Price/Sales (TTM),4.23639
Price/Book (MRQ),1.86982
Price/Cash Flow (TTM),12.19335
5yr Low,50.83
5yr High,121.08
5yr Avg Return,0.11130000000000001
EPS Growth 5yr,0.07991419999999999
Revenue Growth 5yr,-0.10097149999999999
Dividend Growth 5yr,0.0724857
Short Int Current Month,4540750.0
Short Int Prev Month,4704861.0
Short Int Pct of Float,0.037694899999999996
Days to Cover,5.93897
Float,120.4454
Shares Outstanding,122.3115
Institutions Holding Shares,770.0
% Held by Institutions,0.8406220000000001
FCF Growth 5yr,0.44537354164151105
