,ATO
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.06728538283062657
Growth 1yr High Est,0.08505747126436791
Growth 1yr Consensus Est,0.07617142704749724
Growth 2yr Low Est,0.06842530011096548
Growth 2yr High Est,0.08596093902201452
Growth 2yr Consensus Est,0.07719311956649
Growth 5yr Low Est,0.083603945035013
Growth 5yr High Est,0.08889624830349835
Growth 5yr Consensus Est,0.08625009666925568
Growth 5yr Actual/Est,0.08678019907783435
Growth 3yr Historic,0.04965277777777777
