,XRX
Price/Earnings (TTM),8.22487
Price/Sales (TTM),0.44272
Price/Book (MRQ),0.71549
Price/Cash Flow (TTM),4.10693
5yr Low,15.01
5yr High,46.46
5yr Avg Return,-0.009266666666666671
EPS Growth 5yr,-0.056239800000000006
Revenue Growth 5yr,-0.0648826
Dividend Growth 5yr,0.0040487
Short Int Current Month,9229396.0
Short Int Prev Month,8663744.0
Short Int Pct of Float,0.0453724
Days to Cover,2.61521
Float,203.5887
Shares Outstanding,212.9352
Institutions Holding Shares,699.0
% Held by Institutions,0.873626
FCF Growth 5yr,-1.2558141444728355
