,DISCA
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4566473988439307
Growth 1yr High Est,-0.026881720430107503
Growth 1yr Consensus Est,-0.2417645596370191
Growth 2yr Low Est,-0.0873662526134546
Growth 2yr High Est,0.09843759282362019
Growth 2yr Consensus Est,0.005535670105082796
Growth 5yr Low Est,0.15947507598821528
Growth 5yr High Est,0.2216114032971559
Growth 5yr Consensus Est,0.1905432396426856
Growth 5yr Actual/Est,0.19378426704838622
Growth 3yr Historic,0.21483537041656275
