,DISCA
Price/Earnings (TTM),7.07348
Price/Sales (TTM),0.89951
Price/Book (MRQ),1.09912
Price/Cash Flow (TTM),1.78873
5yr Low,15.99
5yr High,34.94
5yr Avg Return,-0.03791666666666666
EPS Growth 5yr,0.11711360000000001
Revenue Growth 5yr,0.1220805
Dividend Growth 5yr,
Short Int Current Month,35806821.0
Short Int Prev Month,38329849.0
Short Int Pct of Float,0.23384
Days to Cover,7.62991
Float,479.2572
Shares Outstanding,506.6936
Institutions Holding Shares,805.0
% Held by Institutions,1.2000520000000001
FCF Growth 5yr,0.2294696810210352
