,KEYS
% Below High,0.08460000000000001
% Held by Institutions,0.912
52-Wk Range,['71.03 - 110.00']
Annual Dividend $,
Annual Dividend %,
Ask,101.9
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,100.69
Bid Size,100.0
Closing Price,100.69
Day Change $,3.7
Day Change %,0.0381
Day High,101.0
Day Low,97.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.47
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,18.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.98
Prev Close,96.99
Shares Outstanding,187.4M
Short Interest,0.044500000000000005
Today's Open,98.18
Volume,1182092.0
Volume 10-day Avg,1169093.0
Volume Past Day,(Average)
