,KEYS
Price/Earnings (TTM),27.98359
Price/Sales (TTM),4.13831
Price/Book (MRQ),5.82498
Price/Cash Flow (TTM),18.66065
5yr Low,21.07
5yr High,110.0
5yr Avg Return,0.23233333333333334
EPS Growth 5yr,0.06732719999999999
Revenue Growth 5yr,0.079672
Dividend Growth 5yr,
Short Int Current Month,8296449.0
Short Int Prev Month,8359085.0
Short Int Pct of Float,0.0445237
Days to Cover,6.59901
Float,186.5714
Shares Outstanding,187.3954
Institutions Holding Shares,953.0
% Held by Institutions,0.911956
FCF Growth 5yr,0.33291201478968374
