,TRV
Price/Earnings (TTM),10.50395
Price/Sales (TTM),0.77303
Price/Book (MRQ),0.97634
Price/Cash Flow (TTM),7.73689
5yr Low,76.99
5yr High,155.09
5yr Avg Return,0.010366666666666665
EPS Growth 5yr,-0.0149631
Revenue Growth 5yr,0.0303444
Dividend Growth 5yr,0.0865296
Short Int Current Month,4366054.0
Short Int Prev Month,4826404.0
Short Int Pct of Float,0.0173242
Days to Cover,2.37987
Float,252.1039
Shares Outstanding,252.8358
Institutions Holding Shares,1405.0
% Held by Institutions,0.821144
FCF Growth 5yr,
