,RE
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.8239
Price/Cash Flow (TTM),
5yr Low,159.73
5yr High,294.31
5yr Avg Return,0.020466666666666654
EPS Growth 5yr,-0.009581
Revenue Growth 5yr,0.0719573
Dividend Growth 5yr,0.1243553
Short Int Current Month,737349.0
Short Int Prev Month,750391.0
Short Int Pct of Float,0.014865
Days to Cover,2.26929
Float,50.20575
Shares Outstanding,50.31058
Institutions Holding Shares,662.0
% Held by Institutions,0.804046
FCF Growth 5yr,
