,RE
% Above Low,0.1069
% Held by Institutions,0.804
52-Wk Range,['159.73 - 294.31']
Annual Dividend $,6.2
Annual Dividend %,0.035699999999999996
Ask,295.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.4
Bid,135.57
Bid Size,100.0
Closing Price,176.8
Day Change $,2.97
Day Change %,0.0171
Day High,178.06
Day Low,172.67
Dividend Pay Date,2020-03-30 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.43200000000000005
Last (size),6.0
Last (time),6:30p ET 05/08/20
Market Cap,8.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,173.83
Shares Outstanding,45.5M
Short Interest,0.0149
Today's Open,177.02
Volume,312082.0
Volume 10-day Avg,408400.0
Volume Past Day,(Light)
