,IPG
% Above Low,0.4893
% Held by Institutions,1.0131999999999999
52-Wk Range,['11.63 - 25.20']
Annual Dividend $,1.02
Annual Dividend %,0.06269999999999999
Ask,19.53
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,16.58
Bid Size,200.0
Closing Price,17.32
Day Change $,1.05
Day Change %,0.0645
Day High,17.4
Day Low,16.52
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",1.7
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.49100000000000005
Last (size),1100.0
Last (time),6:30p ET 05/08/20
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.55
Prev Close,16.27
Shares Outstanding,389.6M
Short Interest,0.056900000000000006
Today's Open,16.63
Volume,4653165.0
Volume 10-day Avg,5311973.0
Volume Past Day,(Below Average)
