,CVS
% Above Low,0.22039999999999998
% Held by Institutions,0.7574
52-Wk Range,['51.72 - 77.03']
Annual Dividend $,2.0
Annual Dividend %,0.0325
Ask,63.3
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,0.7
Bid,63.2
Bid Size,700.0
Change Since Close,0.08| |(0.13%)
Closing Price,63.12
Day Change $,1.67
Day Change %,0.027200000000000002
Day High,63.23
Day Low,61.76
Dividend Pay Date,2020-05-04 00:00:00
"EPS (TTM, GAAP)",5.52
Ex-dividend,2020-04-22 00:00:00
Ex-dividend Date,04/22/20
Historical Volatility,0.371
Last (size),25.0
Last (time),6:30p ET 05/08/20
Last Trade,63.2
Market Cap,82.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.13
Prev Close,61.45
Shares Outstanding,1.3B
Short Interest,0.0116
Today's Open,62.16
Volume,7322623.0
Volume 10-day Avg,8240033.0
Volume Past Day,(Below Average)
