,CVS
Price/Earnings (TTM),11.12584
Price/Sales (TTM),0.3067
Price/Book (MRQ),1.23108
Price/Cash Flow (TTM),6.94876
5yr Low,51.72
5yr High,113.65
5yr Avg Return,-0.06801666666666667
EPS Growth 5yr,0.05050639999999999
Revenue Growth 5yr,0.1300012
Dividend Growth 5yr,0.1270092
Short Int Current Month,15097495.0
Short Int Prev Month,17670312.0
Short Int Pct of Float,0.011587700000000001
Days to Cover,1.55332
Float,1303.066
Shares Outstanding,1307.091
Institutions Holding Shares,2251.0
% Held by Institutions,0.75744
FCF Growth 5yr,0.14439403726422034
