,GRMN
Price/Earnings (TTM),15.32128
Price/Sales (TTM),3.87441
Price/Book (MRQ),3.02103
Price/Cash Flow (TTM),13.75364
5yr Low,30.93
5yr High,105.58
5yr Avg Return,0.13763333333333336
EPS Growth 5yr,0.2161151
Revenue Growth 5yr,0.0553187
Dividend Growth 5yr,0.0313103
Short Int Current Month,2906972.0
Short Int Prev Month,2424579.0
Short Int Pct of Float,0.020927699999999997
Days to Cover,2.63365
Float,139.9057
Shares Outstanding,191.0179
Institutions Holding Shares,787.0
% Held by Institutions,0.481645
FCF Growth 5yr,0.43958102440574026
