,NOC
Price/Earnings (TTM),24.42119
Price/Sales (TTM),1.57665
Price/Book (MRQ),5.977
Price/Cash Flow (TTM),16.20727
5yr Low,152.31
5yr High,385.01
5yr Avg Return,0.1574
EPS Growth 5yr,0.0627364
Revenue Growth 5yr,0.0713279
Dividend Growth 5yr,0.1374599
Short Int Current Month,1597127.0
Short Int Prev Month,2101378.0
Short Int Pct of Float,0.0095974
Days to Cover,1.8608
Float,165.8849
Shares Outstanding,166.7027
Institutions Holding Shares,1398.0
% Held by Institutions,0.815509
FCF Growth 5yr,0.14320823512867392
