,NOC
% Below High,0.149
% Held by Institutions,0.8155
52-Wk Range,['263.31 - 385.01']
Annual Dividend $,5.28
Annual Dividend %,0.0163
Ask,331.0
Ask Size,1100.0
B/A Ratio,0.2727272727272727
B/A Size,300x1100
Beta,0.8
Bid,327.65
Bid Size,300.0
Closing Price,327.65
Day Change $,3.51
Day Change %,0.0108
Day High,329.03
Day Low,322.73
Dividend Pay Date,2020-03-11 00:00:00
"EPS (TTM, GAAP)",13.27
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.376
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,54.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.42
Prev Close,324.14
Shares Outstanding,166.7M
Short Interest,0.0096
Today's Open,324.25
Volume,664877.0
Volume 10-day Avg,823049.0
Volume Past Day,(Below Average)
