,AMCR
Price/Earnings (TTM),27.0525
Price/Sales (TTM),1.24487
Price/Book (MRQ),2.5846
Price/Cash Flow (TTM),13.27456
5yr Low,5.8
5yr High,11.77
5yr Avg Return,-0.09995
EPS Growth 5yr,-0.0804912
Revenue Growth 5yr,-0.0103751
Dividend Growth 5yr,0.0744973
Short Int Current Month,37089169.0
Short Int Prev Month,40696645.0
Short Int Pct of Float,0.0231693
Days to Cover,5.0979
Float,1584.903
Shares Outstanding,1604.047
Institutions Holding Shares,586.0
% Held by Institutions,0.316301
FCF Growth 5yr,0.0901625417854343
