,AMCR
% Below High,0.2379
% Held by Institutions,0.31629999999999997
52-Wk Range,['5.80 - 11.77']
Annual Dividend $,0.46
Annual Dividend %,0.053399999999999996
Ask,9.41
Ask Size,2000.0
B/A Ratio,0.5
B/A Size,1000x2000
Beta,
Bid,8.97
Bid Size,1000.0
Change Since Close,0.00| |(0.00%)
Closing Price,8.97
Day Change $,0.36
Day Change %,0.0418
Day High,9.0
Day Low,8.74
Dividend Pay Date,2020-03-24 00:00:00
"EPS (TTM, GAAP)",0.32
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.474
Last (size),149.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,14.4B
"P/E Ratio (TTM, GAAP)",27.05
Prev Close,8.61
Shares Outstanding,1.6B
Short Interest,0.0232
Today's Open,8.78
Volume,3815663.0
Volume 10-day Avg,5582323.0
Volume Past Day,(Light)
