,AMCR
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.016666666666666607
Growth 2yr High Est,0.125
Growth 2yr Consensus Est,0.0708333333333333
Growth 5yr Low Est,0.016666666666666607
Growth 5yr High Est,0.125
Growth 5yr Consensus Est,0.0708333333333333
Growth 5yr Actual/Est,0.039810547875063995
Growth 3yr Historic,0.0
