,DG
Price/Earnings (TTM),26.13411
Price/Sales (TTM),1.57322
Price/Book (MRQ),6.52534
Price/Cash Flow (TTM),19.69145
5yr Low,59.75
5yr High,183.95
5yr Avg Return,0.16648333333333334
EPS Growth 5yr,0.1374776
Revenue Growth 5yr,0.0797634
Dividend Growth 5yr,
Short Int Current Month,3777360.0
Short Int Prev Month,3001458.0
Short Int Pct of Float,0.015046299999999999
Days to Cover,1.32448
Float,251.1261
Shares Outstanding,251.515
Institutions Holding Shares,1280.0
% Held by Institutions,0.9244119999999999
FCF Growth 5yr,0.1336420640242762
