,DG
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.054628224582701
Growth 1yr High Est,0.22388059701492513
Growth 1yr Consensus Est,0.13925441079881307
Growth 2yr Low Est,0.08486806912588285
Growth 2yr High Est,0.14547688387331625
Growth 2yr Consensus Est,0.11517247649959955
Growth 5yr Low Est,0.15209884008246466
Growth 5yr High Est,0.17920644167780875
Growth 5yr Consensus Est,0.1656526408801367
Growth 5yr Actual/Est,0.1643634509168646
Growth 3yr Historic,0.10841222890528496
