,DG
% Below High,0.0412
% Held by Institutions,0.9244
52-Wk Range,['116.15 - 183.95']
Annual Dividend $,1.44
Annual Dividend %,0.0083
Ask,178.09
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,0.5
Bid,174.0
Bid Size,100.0
Change Since Close,1.73| |(0.98%)
Closing Price,176.36
Day Change $,2.76
Day Change %,0.0159
Day High,176.79
Day Low,173.39
Dividend Pay Date,2020-04-21 00:00:00
"EPS (TTM, GAAP)",6.64
Ex-dividend,2020-04-06 00:00:00
Ex-dividend Date,04/06/20
Historical Volatility,0.312
Last (size),1000.0
Last (time),6:30p ET 05/08/20
Last Trade,178.09
Market Cap,44.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.13
Prev Close,173.6
Shares Outstanding,251.5M
Short Interest,0.015
Today's Open,175.2
Volume,1574541.0
Volume 10-day Avg,1735741.0
Volume Past Day,(Average)
