,IEX
% Below High,0.1316
% Held by Institutions,0.9869
52-Wk Range,['104.56 - 178.14']
Annual Dividend $,2.0
Annual Dividend %,0.013000000000000001
Ask,181.34
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,154.7
Day Change $,1.3
Day Change %,0.0085
Day High,157.97
Day Low,153.62
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",5.45
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.35700000000000004
Last (size),124.0
Last (time),6:30p ET 05/08/20
Market Cap,11.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.14
Prev Close,153.4
Shares Outstanding,75.4M
Short Interest,0.0183
Today's Open,155.82
Volume,479512.0
Volume 10-day Avg,499857.0
Volume Past Day,(Average)
