,IEX
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.3189655172413792
Growth 1yr High Est,-0.07191780821917804
Growth 1yr Consensus Est,-0.19544166273027863
Growth 2yr Low Est,-0.07087516368398072
Growth 2yr High Est,-0.01012864580700601
Growth 2yr Consensus Est,-0.04050190474549337
Growth 5yr Low Est,0.05103856874873436
Growth 5yr High Est,0.08064411085232726
Growth 5yr Consensus Est,0.06584133980053081
Growth 5yr Actual/Est,0.06236584691885763
Growth 3yr Historic,0.08182728555437857
