,IEX
Price/Earnings (TTM),28.14488
Price/Sales (TTM),4.74099
Price/Book (MRQ),5.24494
Price/Cash Flow (TTM),23.62021
5yr Low,65.45
5yr High,178.14
5yr Avg Return,0.14540000000000006
EPS Growth 5yr,0.0995117
Revenue Growth 5yr,0.030390399999999998
Dividend Growth 5yr,0.12521290000000002
Short Int Current Month,1387657.0
Short Int Prev Month,1394594.0
Short Int Pct of Float,0.018334
Days to Cover,1.99201
Float,75.90706
Shares Outstanding,76.23924
Institutions Holding Shares,682.0
% Held by Institutions,0.986926
FCF Growth 5yr,0.08714017984735509
