,BEN
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3376068376068375
Growth 1yr High Est,-0.09090909090909083
Growth 1yr Consensus Est,-0.21425796425796417
Growth 2yr Low Est,-0.1784808381582575
Growth 2yr High Est,-0.004545454545454519
Growth 2yr Consensus Est,-0.091513146351856
Growth 5yr Low Est,-0.13958171600745642
Growth 5yr High Est,-0.049931590148981464
Growth 5yr Consensus Est,-0.09475665307821894
Growth 5yr Actual/Est,-0.09533876340395175
Growth 3yr Historic,-0.040019614467781545
