,BEN
Price/Earnings (TTM),9.29942
Price/Sales (TTM),1.58179
Price/Book (MRQ),0.90721
Price/Cash Flow (TTM),8.37671
5yr Low,14.91
5yr High,52.49
5yr Avg Return,-0.13268333333333332
EPS Growth 5yr,-0.0912479
Revenue Growth 5yr,-0.0742217
Dividend Growth 5yr,0.1703418
Short Int Current Month,29585955.0
Short Int Prev Month,28762980.0
Short Int Pct of Float,0.1096541
Days to Cover,7.20619
Float,268.2276
Shares Outstanding,495.3063
Institutions Holding Shares,735.0
% Held by Institutions,0.510192
FCF Growth 5yr,-0.10964952816298043
