,BEN
% Above Low,0.2877
% Held by Institutions,0.5102
52-Wk Range,['14.91 - 35.77']
Annual Dividend $,1.08
Annual Dividend %,0.059500000000000004
Ask,20.15
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,18.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,19.2
Day Change $,1.06
Day Change %,0.0584
Day High,19.25
Day Low,18.36
Dividend Pay Date,2020-04-13 00:00:00
"EPS (TTM, GAAP)",1.95
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.457
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.3
Prev Close,18.14
Shares Outstanding,495.3M
Short Interest,0.1097
Today's Open,18.37
Volume,3150828.0
Volume 10-day Avg,5357712.0
Volume Past Day,(Light)
